ACC #,CUSTOMER NAME ,SEQ
DUN052,DUNKELD MANOR                                                    ,1
STV001,ST VINCENT SCHOOL FOR THE DEAF                                   ,2
COU002,COURTYARD,3
KIN063,KINGSMEAD COLLEGE,4
TRA419,TRANSCEND CORPORATE ADVISORS                                     ,5
HYA001,HYATT HOTEL,6
MOT041,MOTHERLAND COFFEE SHOP,7
HOL088,HOLIDAY INN,8
CHI408,CHIAPAS                                                          ,9
TAR029,TARBOOCH,10
TAS037,TASHAS ROSEBANK                                                  ,11
TEX013,TEXAKHANA SPUR,12
HAA003,HAAGEN DAZS ROSEBANK                                             ,13
CAL106,CALISTOS ROSEBANK                                                ,14
EUR022,EUROPA,15
EXC034,EXCLUSIVE BOOKS ROSEBANK,16
BOD079,BODYBITE CAFE ROSEBANK                                           ,17
GRA199,GRANSASSO STANDARD BANK,18
DOP004,DOPPIO ZERO ROSEBANK,19
HAN023,HANNOVER REINSURANCE AFRICA LTD,20
TSA526,TSAFRIKA - REDEFINE                                              ,21
TSA523,TSAFRIKA - RESALE - REDEFINE                                     ,22
FED4634,FEDICS REDEFINE PROPERTIES,23
FED4412,FEDICS - RESALE - REDEFINE PROPERTIES                            ,24
CAP733,THE CAPITAL ON BATH,25
SOU141,54 ON BATH,26
MES014,MESH CLUB                                                        ,27
OPE031,OPEN FOOD GROUP - MESH                                           ,28
CRO091,CROWN PLAZA,29
BUT125,BUTCHERS BLOCK,30
NUH012,NU HEALTH CAFE - ROSEBANK                                        ,31
CGA172,NETCARE HOSPITAL ROSEBANK,32
COF055,NETACRE COFFEE SHOP ,33
CGA339,SASOL GROUP SERVICES - SO455                                     ,34
FED4021,FEDICS-RESALE TSEBO PROCUREMENT,35
BID104,BIDVEST PROCUREMENT,36
KIL005,KILLARNEY COUNTRY CLUB                                           ,37
TAC007,TACOMAMA KILLARNEY                                               ,38
MUG054,MUGG AND BEAN KILLARNEY,39
EUR106,EUROPA KILANY,40
EXC049,EXCLUSIVE BOOKS KILANY ,41
FED4815,FEDICS ROEDEAN SCHOOL,42
FED4648,FEDICS JHB GENERAL HOSPITAL,43
FED4092,FEDICS - RESALE -ROSEBANK H O SITE                               ,44
SUN101,SUNNYSIDE PARK HOTEL,45
OMB001,THE OMBUDSMAN FOR SHORT TERM INS.                                ,46
TSA034,TSAFRIKA - COCA COLA HEADOFFICE                                  ,47
EJO021,EJOZI TRANSNET,48
SPO005,TRANSNET FREIGHT RAIL PARKTOWN,49
FEE068,FEEDEM PITSENG - POULTRY - LIFE BRENTHURST                       ,50
PIT872,PITSENG BRENTHURST,51
CGA170,NETCARE PARK LANE HOSPITAL N0215                                 ,52
NET136,NETCARE PARKLANE COFFEE,53
PAR159,THE PARKTONIAN FOUNDATION                                        ,54
TSA116,PARK TOWN BP FEDICS,55
TSA318,TSAFRIKA PARKTOWN BP,56Id,Location Name,Sequence,Route Name,Latitude,Longtitude
DUN052,Dunkeld Manor,1,ROSEBANK FINAL ROUTE,-26.1383238144478,28.039627969265
STV001,St Vincent School for the Deaf,2,ROSEBANK FINAL ROUTE,-26.1412566093612,28.0441474914551
COU002,The Courtyard - Rosebank,3,ROSEBANK FINAL ROUTE,-26.1446155080955,28.0441206693649
KIN063,Kingsmead College,4,ROSEBANK FINAL ROUTE,-26.1446323625408,28.0441474914551
TRA419,Transcend Corporate Advisors,5,ROSEBANK FINAL ROUTE,-26.1490336972324,28.0457299947739
54b854e4-ad7b-48ce-a5a9-5fe0f83565c0,The Zone at Rosebank,6,ROSEBANK FINAL ROUTE,-26.1454438772177,28.0395470738313
TSA523,Rosebank Towers,7,ROSEBANK FINAL ROUTE,-26.1435247795333,28.0413660407066
FED4907,Appoliana House,8,ROSEBANK FINAL ROUTE,-26.1488218205905,28.0411300063133
CAP733,The Capital on Bath,9,ROSEBANK FINAL ROUTE,-26.1419693300022,28.0404970049858
OPE031,Trumpet On Keys,10,ROSEBANK FINAL ROUTE,-26.1441291359118,28.0366212129593
ROS001,Crowne Plaza - Rosebank,11,ROSEBANK FINAL ROUTE,-26.1455087903417,28.0386918783188
COF055,Netcare Rosebank Clinic,12,ROSEBANK FINAL ROUTE,-26.1467800805105,28.0397245287895
CGA339,Sasol Group Servuces- SO455,13,ROSEBANK FINAL ROUTE,-26.1484269585497,28.0390352010727
FED4021,Tsebo,14,ROSEBANK FINAL ROUTE,-26.1482824964936,28.041977584362
0435b64c-165f-45d1-8a81-db332b2faf5f,158 Jan Smuts Avenue,15,ROSEBANK FINAL ROUTE,-26.1465200450115,28.0366051197052
KIL005,Killarney Country Club,16,ROSEBANK FINAL ROUTE,-26.1496741401975,28.0537068843842
EUR106,Killarney Mall,17,ROSEBANK FINAL ROUTE,-26.1677302957433,28.0540931224823
FED2142,Roedean School SA,18,ROSEBANK FINAL ROUTE,-26.1772983,28.0487255
FED4648,Johannesburg General Hospital,19,ROSEBANK FINAL ROUTE,-26.1768150960208,28.0447643995285
