Store ID,Store GPS,Zone
135,"-25.9220406,28.0213533",
144,"-25.93478,28.0152217",
236,"-25.9372967,28.0028333",
260,"-25.9420117,28.01234",
261,"-25.9362635,28.0133023",
270,"-25.9372183,28.003045",
342,"-25.92722,28.0066517",
1909,"-25.9335167,28.0200183",
2377,"-25.939315,28.0100833",
3641,"-25.94211,28.0177967",
3696,"-25.9305563,28.0195236",
3954,"-25.9254635,28.0001271",
5020,"-25.9410567,28.0054933",
5033,"-25.9412603,28.0056169",
5117,"-25.9318383,28.00426",
5547,"-25.9224557,28.0176178",
5715,"-25.9305563,28.0195236",
5739,"-25.943695,28.01142",
6338,"-25.9351051,28.0107405",
6383,"-25.9416246,28.0186161",
6849,"-25.9395617,28.0099967",
7010,"-25.933147,28.013354",
7139,"-25.934915,28.0165683",
7262,"-25.93505,28.01738",
7585,"-25.9342133,27.998525",
7597,"-25.9422005,28.0123388",
7918,"-25.9412183,28.0187283",
8183,"-25.94587,28.012065",
8437,"-25.9305583,27.9982433",
8551,"-25.9202967,28.017355",
8694,"-25.932055,28.00113",
8721,"-25.920645,28.01635",
8925,"-25.9190459,28.01623",
9267,"-26.207149,27.8686881",
9271,"-26.20391,27.8628917",
9278,"-26.2120085,27.8584326",
9309,"-26.2142784,27.8653918",
9305,"-26.1955874,27.8591652",
9303,"-26.2044262,27.8632847",
9335,"-26.1989641,27.8624616",
9477,"-26.2090517,27.8638817",
9640,"-26.2055817,27.8551361",
9645,"-26.208985,27.8645267",
9648,"-26.211115,27.860045",
9650,"-26.2021283,27.8582233",
9940,"-26.203285,27.8692633",
10218,"-26.2090797,27.8562349",
10296,"-26.212615,27.8590633",
10500,"-26.20218,27.8534283",
10570,"-26.1892117,27.84677",
11007,"-26.212363,27.87727",
11434,"-26.1972983,27.8016533",
15033,"-26.230565,27.8525333",
11342,"-26.23323,27.8331576",
15029,"-26.228301,27.8518395",
11211,"-26.1971,27.8494083",
11257,"-26.2393273,27.9155632",
11279,"-26.2378964,27.9239848 ",
11289,"-26.2009082,27.8661243",
11411,"-26.2255767,27.8429083",
11371,"-26.2261909,27.8522058",
11753,"-26.2098567,27.883115",
11768,"-26.191865,27.84448",
11772,"-26.2096467,27.8819733",
11812,"-26.2108833,27.9007667",
12607,"-26.2186183,27.8968733",
12555,"-26.2264167,27.84885",
12574,"-26.2180885,27.8730832",
22409,"-26.1998933,27.8554367",
11919,"-26.2079383,27.889745",
11954,"-26.2124167,27.9039767",
11970,"-26.2149633,27.9047033",
11984,"-26.215695,27.9059133",
12029,"-26.2176783,27.9163883",
12080,"-26.184385,27.8057367",
12085,"-26.2343517,27.8397017",
12107,"-26.22228,27.8166683",
12117,"-26.220855,27.8363767",
12119,"-26.2190744,27.8214346",
12134,"-26.227078,27.805991",
12126,"-26.217349,27.818708",
12129,"-26.2241117,27.81495",
12143,"-26.2223533,27.8155567",
12169,"-26.19586,27.854435",
12178,"-26.196585,27.8547383",
12435,"-26.2274667,27.8594033",
12441,"-26.21953,27.8577183",
12450,"-26.2197633,27.8576183",
12813,"-26.2203767,27.8353567",
12816,"-26.2242367,27.8268833",
12821,"-26.217595,27.8253183",
12869,"-26.2147317,27.8920033",
12883,"-26.2197829,27.8730832",
12921,"-26.2267383,27.8619317",
12926,"-26.2100933,27.8803133",
13055,"-26.1937333,27.82126",
13224,"-26.219565,27.8579733",
13455,"-26.223355,27.8634767",
13453,"-26.2232901,27.8634231",
13459,"-26.22361,27.8634867",
14260,"-26.2227883,27.8703",
14306,"-26.2264333,27.8695383",
13753,"-25.9432083,28.0116067",
14043,"-26.2221767,27.871285",
14060,"-25.9406133,28.0144217",
14064,"-26.2358067,27.9518283",
14109,"-26.2208017,27.87045",
14264,"-26.22287,27.87051",
14313,"-26.2367483,27.95449",
14347,"-26.2165367,27.8328933",
14422,"-26.1981717,27.8564633",
14472,"-26.248785,27.94911",
14526,"-26.2489998,27.9523132",
14536,"-26.2473603,27.9594975",
14544,"-26.2243317,27.8915167",
14568,"-26.229555,27.8938767",
14579,"-26.2211183,27.8886533",
14585,"-26.2284517,27.8943083",
15513,"-26.2168433,27.914155",
15023,"-26.2139067,27.9024583",
15030,"-26.2095383,27.8997267",
14758,"-26.249135,27.8672633",
14822,"-26.2187483,27.8871733",
14851,"-26.245275,27.93796",
14880,"-26.217125,27.8867317",
14887,"-26.2214183,27.8216117",
14921,"-26.24343,27.9316367",
14929,"-26.2203733,27.822245",
15194,"-26.2304601,27.9287446",
15207,"-26.22,27.87259",
15211,"-26.234543,27.957657",
15218,"-26.2132383,27.88596",
15362,"-25.935169,28.000345",
15366,"-26.2087167,27.8581533",
15378,"-26.202635,27.8602133",
15401,"-26.2451033,27.9622067",
15432,"-26.2322867,27.8801433",
15437,"-26.2256483,27.8598217",
15529,"-26.2361717,27.9482783",
15573,"-26.2181617,27.8700383",
15621,"-26.2176533,27.8837783",
15649,"-26.2221767,27.87212",
15658,"-26.241992,27.9254493",
15712,"-26.218265,27.881749",
15715,"-26.2203467,27.8833517",
15745,"-26.2267783,27.8988617",
15787,"-26.2165633,27.8717867",
15817,"-26.209705,27.8919217",
15916,"-26.246115,27.9311567",
15931,"-26.2400367,27.9594417",
15943,"-26.231983,27.928947",
16003,"-26.24917,27.8314683",
16066,"-26.239179,27.953629",
16121,"-26.2363683,27.9449233",
16130,"-26.2368617,27.9440417",
16648,"-26.2496437,27.8727314",
16677,"-26.2026717,27.8660383",
16716,"-26.2454667,27.8785917",
16893,"-26.2248733,27.8623483",
17066,"-26.2467904,27.9605957",
19250,"-26.2106367,27.864285",
17103,"-26.2139507,27.8815067",
17482,"-26.2387517,27.958425",
17955,"-26.2492067,27.950545",
17965,"-26.2479,27.950645",
18025,"-26.2504731,27.9463183",
18030,"-26.2292317,27.822205",
18139,"-26.2210165,27.8752807",
18265,"-26.2190467,27.832535",
18286,"-26.2231217,27.8529867",
18363,"-26.248735,27.9524583",
18375,"-26.2592583,27.8628967",
18394,"-26.2216757,27.8705194",
18406,"-26.2380577,27.860264",
18990,"-26.2162733,27.918505",
19202,"-26.2362383,27.812865",
19216,"-26.273735,27.8176533",
19601,"-26.2207,27.9103183",
20144,"-26.1930367,27.82499",
20166,"-26.2362667,27.8125817",
20325,"-26.22017,27.8391867",
20351,"-26.22126,27.8380583",
20417,"-26.2230483,27.8096067",
21200,"-26.2179217,27.8240233",
21334,"-26.2076233,27.8942",
21693,"-26.2224115,27.8653918",
21731,"-26.2241133,27.80654",
21962,"-26.2110367,27.887915",
21996,"-26.206505,27.8859817",
22036,"-26.209305,27.8867483",
22434,"-26.2069517,27.8834483",
22555,"-26.2302083,27.8513",
22563,"-26.2130617,27.8985867",
22569,"-26.2265877,27.8163056",
22586,"-26.212895,27.8966017",
22618,"-26.2238633,27.8233967",
22661,"-26.2130156,27.8891975",
22698,"-26.2569093,27.9382639",
22710,"-26.2517283,27.9417883",
22963,"-26.226955,27.874405",
23217,"-26.2178,27.8850683",
23235,"-26.2164817,27.8858383",
23285,"-26.2431217,27.9413683",
23324,"-26.22044,27.9067133",
23315,"-26.2401633,27.9009933",
23318,"-26.2170983,27.886685",
23321,"-26.2498888,27.9426573",
23400,"-26.2491117,27.915715",
23444,"-26.2584009,27.9105087",
23461,"-26.2180883,27.8923017",
23624,"-26.2022267,27.8621283",
23815,"-26.2288317,27.872485",
23875,"-26.2486882,27.9097045",
23878,"-26.219865,27.8915367",
23929,"-26.2480799,27.9152366",
23945,"-26.0153957,28.1877805",
24069,"-26.017405,28.1933617",
24074,"-26.0160083,28.19429",
24089,"-25.9972683,28.1840367",
24095,"-26.000715,28.1825517",
24107,"-25.933562,28.0213533",
24120,"-26.01634,28.196385",
24150,"-25.9990362,28.2411498",
29156,"-25.9971982,28.1874149",
24865,"-26.02663,28.2219117",
24294,"-26.013335,28.2270617",
24240,"-26.013785,28.175315",
24248,"-26.0392933,28.1627333",
24254,"-25.9976933,28.175515",
24376,"-26.23689,27.9440517",
24424,"-26.22053,27.85962",
24450,"-26.014375,28.182215",
24468,"-26.0085467,28.192585",
24479,"-26.0082231,28.1928989",
24549,"-25.9914867,28.2077483",
24641,"-26.0079217,28.2020667",
24906,"-26.0163267,28.196895",
24912,"-26.0201967,28.21401",
24987,"-26.0182434,28.2159294",
25164,"-26.007275,28.1869",
25317,"-26.0024997,28.1943612",
25447,"-26.0000917,28.2009417",
25474,"-25.9182033,28.0198333",
25477,"-26.04793,28.1853767",
25494,"-26.0034455,28.240139",
25575,"-26.0173383,28.1903017",
25581,"-26.005997,28.229077",
25588,"-25.9988017,28.2266133",
25606,"-26.0057883,28.2147767",
25619,"-25.9875083,28.1865317",
