Customer,Name,Email
 SIL201,SILVER - MOON CONSULTANTS *COD,loren@silvermoonconsultants.co.za
"""NJ""",C O D DURBAN TRADE, 
1ST100,1ST WORLD DEVELOPMENT (PTY) LTD***COD***,ndumiso@1stworlddevelopment.co.za
24T100,24TH FLOOR SALES ***COD***, 
25H100,25 HOUR STUDIO**COD***,jenny@twenty5.co.za
3BT100,3B TECHNICAL SERVICES (COD)CAS,3btechnical@webmail.co.za
4MI100,4 MIDABLE TRADING (PTY) LTD,chohanz@vodamail.co.za
5089151,MEDIA BUSINESS SPECIALIST, 
5DS100,5 D STAR TRADING (PTY) *COD*,amina@5dstar.co.za
8TI100,8TIEN8 ***COD***,leburuoh@telkomsa.net
AAA100,BUI134, 
AAL100,AA LITZBURG UNIVERSAL****COD**, 
AAM100,AAMA OFFICE MACHINES,aamaoffice@telkomsa.net
AAR100,AARON STATIONERS CC ***COD***,francoisvdm70@vodamail.co.za
ABA100,ABAPHUMELELI TRADING (CASH ONL, 
ABA101,ABANTU STATIONERS,abantustat@mweb.co.za
ABA102,ABACUS MATHS TRAINING ***COD**,sharne.bresler@gmail.co.za
ABC100,ABC SKRYFBEH **USE ABC102**,abc@abc.co.za
ABC101,ABC STATIONERS (PTY) LTD,abcaccounts@iway.na
ABC102,ABC SKRYFBEHOEFTES,abc2stat@gmail.com
ABC103,ABC123 STATIONERY*COD***,abc123stationery@gmail.com
ABC611,SIGNAA TRADE & INVEST CC,abcstationery@gmail.co.za
ABD100,ABDUL GAFFAR *CASH ONLY*, 
ABD101,ABD PACK/STAT T/A ALL OCCASION,kennethnaidoo1@gmail.com
ABE100,ABEDS STAT SUPPL***COD***, 
ABE105,ABED'S OFFICE EQUIPMENT, 
ABG100,ABG IND SUPPL CC***COD***,abelmawela4@gmail.com
ABG101,A & B GENERAL SUPPLIER (CASH ), 
ABI100,ABIECHEM PRODUCTS (COD),statement_jb@silveray.co.za
ABN100,C.O.D. ABNER ELECTRICAL, 
ABO100,A BOOK OR 2****COD*******, 
ABO101,ABOVE ALL LOGISTICS ***COD***,abovealllogistics@gmail.com
ABO102,ABOUT MARKETING ***COD***,sandy@aboutmarketing.co.za
ABS100,ABSOLUTE MAGZ (SOLD 1/2/06), 
ABS101,ABSOLUTE OFFICE PTY LTD,admin@absolute-office.co.za
ABS102,ABSOLUTE MAGZ BROADACRES, 
ABS104,ABSOLUTE GAP ***COD***, 
ABS105,ABSOLUTE PROMOTIONS & PRNT COD,absolute@global.co.za
ABS106,ABSOLUTE AFRICA SUPPLY ***COD*,sandra@absolute-africa.com
ABU101,ABUNDANT LIFE BOOKSHOP,statement_jb@silveray.co.za
ABU102,NEW NATIONS T/ABUS.SERV(COD),statement_jb@silveray.co.za
ABU103,ABUJONES PROJECTS & ENTER**COD,abujonespe@webmail.co.za
ABZ100,ABZ TRADE SERVICE B/DEBT 12/09,rianavz@yebo.co.za
ACA100,ACADEMIC BOOKSHOP,academic@mweb.co.za
ACA101,ACADEMY CELLULAR & STATIONERS,iron@lantic.net
ACA102,ACADEMY DRAFTING SERV***COD***, 
ACA103,A CARRIM AND ASSOCIATES *COD*,aslam@acarrim.co.za
ACB100,ACB STATIONERS CC,sales@acbstationers.co.za
ACB101,ACB STATIONERS CC (BTS),sales@acbstationers.co.za
ACC100,ACCESS OFFICE NATIONAL,candicem@accessoffice.co.za
ACC101,AC CONTROLS ***COD***,statement_jb@silveray.co.za
ACC110,ACCAD TECHNOLOGIES (PTY) **COD,statement_jb@silveray.co.za
ACD100,ACD SUPPLIES (CASH ONLY), 
ACE100,ACEBASE INTERBIZ TRADING***COD,acebaseinter@gmail.com
ACE101,ACEL COMPUTERS & STAT **COD**, 
ACG100, JIT SUPPLIERS CC***COD***,ntombi@jitsuppliers.co.za
ACH100,ACHIEVER CONSULTANT ***COD***, 
ACM100,ACME BOOKS & STATIONERS,acmebooks@mweb.co.za
ACO100,W.NEL T/A ACORNHOEK PHARMACY,bushbuck@lantic.net
ACR100,ACRETEC TECHNOLOGIES **COD**,nwespy@yahoo.com
ACT100,ACTION PRINT CC ***COD***,actonit@iafrica.com
ACT101,ACTION PRINT (COD) CASH,info@actionprint.co.za
ACT102,ACTIVE BUSINESS INVESTMENTS,bekos@webmail.co.za
ACT104,ACTISOL TWENTY EIGHT CC, 
ACU100,ACUSTICA (CASH ONLY), 
ADA100,RHINO CHEMICALS ***COD***,elize@rhinochem.co.za
ADA101,ADA DISTRIBUTORS CC, 
ADA102,ADA WITBANK***COD***,statement_jb@silveray.co.za
ADA103,ADA DISTRIBUTORS CC TZN,adahq@imaginet.co.za
ADA104,ADAMS BOOKSELLERS(PTY)LTD,stacey@adamsbooks.co.za
ADC100,ADCOCK INGR H/CARE ***COD**, 
ADD100,ADD-COMM PRINT***COD***,add-comm@telkomsa.net
ADI100,AD & IMAGE MARKETING,info@adimage.co.za
ADI101,ADISTRA 51CC T/A POSTNET BRITS,carikadelange@gmail.com
ADM100,ADMIRABLE INVESTMENTS **COD**,admirableinvestments@yoafrica.com
ADS100,ADSTAR TRADING CO.(PTY) LTD*CO,sakina@advanceddigitalsa.co.za
ADS102,ADS STATIONERY TRADING ***COD***,skye.sibanda@ads-stationery.co.za
ADS106,ADS***COD**USE ACC ADV100**,farah@advanceddigitalsa.co.za
ADS130,A D S STATIONERY***COD, 
ADV100,ADVANCED DIGITAL (COD) CASH,sakina@advanceddigitalsa.co.za
ADV101,ADVANCED MARKING SYSTEMS, 
ADV102,ADVANCE WHOLESALERS,statement_jb@silveray.co.za
ADV103,ADVANCED ECO FRIENDLY TECHNOLOGY *****COD***,paulolivier@telkomsa.net
ADV105,ADVANCED DIGITAL SUPP*COD***,statement_jb@silveray.co.za
