Account,Acc Name,Del Name,Delivery Add1,Delivery Add2,Delivery Add3,Postal Code
TA10019043,MVULA TECHNOLOGIES CC T/A MVULA COMPUTER NETWORKS,MVULA TECHNOLOGIES CC T/A MVULA COMPUTER NETWORKS,777 PIERNEEF STREET,VILLERIA,JHB,'0031
TA10019044,INAMANDLA INFORMATION TECHNOLOGY CC,INAMANDLA INFORMATION TECHNOLOGY CC,14 Pigeon Avenue,Ext 1,Lenasia,'1820
TA10019046,SHOSHO INDUSTRIAL SUPPLIES CC,SHOSHO INDUSTRIAL SUPPLIES CC,1 CLANWILLIAM CRESCENT,BRENTWOOD PARK,BENONI  JHB,'1500
TA10019050,SKYDYNE PROJECTS CC,SKYDYNE PROJECTS CC,1240 KROUKIE AVENUE,WELTEVREDENPARK,JHB,'1726
TA10019053,SA AUTOMATION SYSTEMS (PTY) LTD,SA AUTOMATION SYSTEMS (PTY) LTD,UNIT 45 GRAPHITE INDUSTRIAL PARK,CNR FABRIEK & COMMERCIAL STREETS,STRIJDOM PARK  RANDBURG  JHB,'2040
TA10019055,LESEGO JE PAPERS (PTY) LTD,LESEGO JE PAPERS (PTY) LTD,REDCHESTED CUCCOO,PROTEA GLEN EXT 2,JHB,'1818
TA10019059,G C C TECHNICAL SOLUTIONS (PTY) LTD,G C C TECHNICAL SOLUTIONS (PTY) LTD,NO 2 SNIPE STREET,HORIZON EXT 1,ROODEPOORT,'1734
TA10019060,INVENT DIGITAL ,INVENT DIGITAL ,UNIT D10  PROSPUR BUSINESS PARK,HUGHES EXT 14  OSCAR STREET,BOKSBURG JHB,'1465
TA10019063,MAGNIFYING SOLUTIONS CC,MAGNIFYING SOLUTIONS CC,103 FIFTH AVENUE ,NORTHMEAD BENONI ,JOHANNESBURG 1501,'1465
TA10019064,BLUEJEANS IT SOLUTIONS CC,BLUEJEANS IT SOLUTIONS CC,37 SHEILA STREET,DUNVEGAN,JHB,'2008
