LHCOS01;LIFEHEALTH COSMOS HOSPITAL;TAMBO & BEAUTY AVENUE;WITBANK;MPUMALANGA;;;;;;
LHFLO01;LIFEHEALTH FLORA CLINIC;WILLIAM NICOL DRIVE FLORA;FLORIDA;;;;;;;
LHWIL02;LIFEHEALTH WILGEHEUWEL HOSP;AMPLIFIER ROAD;RADIOKOP EXT 13;ROODEPOORT;;;;;;
MCEMF1;MEDICLINIC EMFULENI;6 JAN VAN RIEBEEK BLVD;VANDERBIJLPARK;1911;;;;;;
MCMOR01;MEDICLINIC MORNINGSIDE;CNR RIVONIA & HILLS ROAD;MORNINGSIDE;GAUTENG;;;;;;
MPNKA01;NKANGALA DISTRICT;JUSTICE STREET WITBANK;WITBANK;MPUMALANGA;;;;;;
MPWIT01;WITBANK HOSPITAL;COERT STEYNBERG STREET;WITBANK;MPUMALANGA;;;;;;
NCFER02;FERNCREST MEDICROSS;FERNCREST HOSPITAL;MOUMO STREET;THLABANE RUSTENBURG;;;;;;
NCMON01;NETCARE MONTANA HOSPITAL;CNR DR SWANEPOEL & ROOIBO;MONTANA PARK;PRETORIA;;;;;;
PRLOU01;LOUIS PASTEUR HOSPITAL;374 SCHOEMAN STREET;PRETORIA;;;;;;;
