ACCOUNT,NAME,DELIVERY ADDRESS,Longatude,Latitude,Level of Accuracy
10005,DR JACOBSZ A INC,"207 PTA OOG INSTITUUT 630 SCHOEMAN STREET
  ARCADIA",18.4175435,-33.9338284,High
10006,DR SMIT MFE 10 TSHWANE OCCUPATIONAL,"HEALTH SERVICE PLOT 29 BUENESTPOORT
  CULLINAN",29.4293222,-25.8150021,High
10009,DR BOTHA JPD 10,"MYN KLINIEK BLUE DIAMOND MINES
  KOFFIEFONTEIN",25.00659,-31.49532,High
10012,DR OLATEJU OD 10 LIFE OCCUPATIONAL HE,"LIFE OCC HEALTHCARE PARMA PTY LTD 9 MONTE CARLO CRE
  KYALAMI PARK",28.4551638,-26.1295882,High
10014,DR LEKHA R,SHOP 2 64 OLD MAIN ROAD SHAKASKRAAL,31.218278,-29.447827,High
10026,DR NKUNA C 10 LIFE OCCUPATIONAL,"LIFE OCCUPATIONAL H/CARE SPAR DISTRIBUTION CENTRE
  1 CHRISTIE CRESCENT",30.980357,-25.4094568,High
10028,DR RAUTENBACH MH,"VISIOMED OFFICE PARK NR 2 BEYERS NAUDE STR
  NORTHCLIFF",27.9722023,-26.1314246,High
10030,PARAMEDICS ON CALL,"29 GELDERLAND CRESCENT EXTENTION 13
  ELOFFSDAL",28.197683,-25.66161,High
10031,SEDERKEM APTEEK 11 NATIONAL CHRONIC SOL,AUGSBURGWEG CLANWILLIAM,18.892942,-32.175837,High
10032,DR KEET T CARE CURE RYNMED BEN,"NORTHMEAD MALL ROOF TOP 1 ST STREET
  NORTHMEAD BENONI",27.9872143,-26.1304856,High
10034,DR STOYKOVA NS,"SUITE 5 EASTWING PARK LAN CLINIC 11 JUNXION AVE
  PARKTOWN",28.04628,-26.18117,High
10037,NURSING WELLNESS,"20 NGOBIT ROAD SUNNINGHILL
  SANDTON",28.01947,-26.03393,High
10042,DRS KLASS BF & SLOWATEK EW,"SUITE 313 LEVEL 3 LINKSFIELD PARK CLINIC
  12 TH AVE NET RASSIE 10H",28.0953849,-26.1594577,High
10043,DR NORTJE DEP,"ECO OFFICE PARK BLOCK C GROUND FLOOR
  CNR HENNIE ALBERTS & MICH",28.06902,-26.24305,High
10045,DR RAJKISSOR DM & VANMARI MJ INC.,"SHOP 1-1467 SOUTH COAST R MOBENI
  MEREBANK RAILWAY STATION",30.957094,-29.945611,High
10046,DR HORAK EDVM,"DIE WITHUIS 265 GILOVER AVE
  LYTTELTON",28.199212,-25.845847,High
10048,SANRIT TUCK SHOP,"CVJ X PERTS MALIE STRAAT 1224
  BOOYSENS",28.1366466,-25.9021904,High
10051,DR HUGO AO TANDARTS,3 CARNATION STREET FLORACLIFF,27.91855,-26.15392,High
10052,DR VON WIELLIGH E,"31 SMUT STRAAT RANDGATE
  RANDFONTEIN (WEDNESDAY CL",27.6868242,-26.1722736,High
10053,DR SEELE MB TOUGHEST YOUNG MINDS,"9 EINSTEIN STR SANCA VAAL DRIEHOEK
  VANDERBIJLPARK",27.82347,-26.695,High
10057,DR GREEFF E,"SUNNINGHILL HOSPITAL SESSIONAL ROOM 2 FLOOR 2
  Cnr Nanyuki & Witkoppen R",28.069964,-26.039418,High
10059,DR RICHARD DA,"BRYANSTON OFFICE PARK,GRN GRND FLOOR,CNR MAIN RD &
  HOMESTEAD AVE.",28.0125242,-26.0777806,High
10060,JAB AUTOCLAVES AND SERVIC CC,"PRETORIA STR 1217 BOOYSENS
  PRETORIA",28.123648,-25.714695,High
10061,DR FERREIRA IS INGELYF,"MEDIESE SENTRUM 104 DU TOITSPAN WEG
  KIMBERLEY",24.7368689,-28.7650055,High
10063,DE BEER E FISIOTERAPEUT,"PIENAAR STRAAT 31 BRITS
  (BRITS MEDI-CLINIC SAME B",27.7833783,-25.6337939,High
10064,DR STROBOS PJJ AND ASS INC,"LIFE WILGEHEUWEL HOSPITAL AMPLIFIER ROAD RADIOKOP
  ROOM 19 BLOCK D",27.9244,-26.09968,High
10065,DR SCHREUDER I KRITZINGER PRAKTYK,"BIRKHOLTZ & KRITZINGER IN OLD CRECHE BUILDING LITTL
  COMP OF MARY HOSP 50 GEOR",28.2161659,-25.771333,High
10066,DR WILLEMSE GM PRACTICE,"OPTIMED EYE & LASER CLINI WOODLANDS DRIVE 1199
  QUEENSWOOD",28.210972,-25.74741,High
10067,DR VENTER A 11,"WILGERS TRAUMA UNIT WILGERS HOSPITAL DENNEBOO
  ROAD THE WILLOWS",28.08697,-25.7618,High
10068,DR BRONKHORST Z DENTIST,"17 BONESCHANS STR ELARDUSPARK
  PRETORIA",28.228826,-25.773239,High
10069,HEART SMART TRIPHASE TECHNOLOGIE,"GARSFONTEIN KANTOOR PARK 14 JACQUELINE RYLAAN 645
  GARSFONTEIN",28.30472,-25.788274,High
10070,COPYKLEER CC .,"860 PARK STREET ARCADIA
  PRETORIA !SLUIT 16H30!!",28.223429,-25.749542,High
10072,DR JORDAAN LJ PRACTICE,"SUITE 214 UNION HOSPITAL 47 CLINTON ROAD NEW REDRU
  ALBERTON",28.1204349,-26.270247,High
10074,GELVANS PHARMACY JAYSHREE DAYA GELVAN,"SHOP 4 GARDEES ARCADE 20 DIAGONAL NEWTOWN
  JOHANNESBURG",28.03658,-26.20405,High
10075,DR VAN NIEKERK A 11 DENTIST,"XCELPARK SUITE 202 RODERICKSWEG 441
  LYNNWOOD",28.268472,-25.764267,High
10078,CEDAR POINTS MEDICALS CEDAR POINTS TRADI,"NO 16 4TH STREET WYNBERG
  JHB",28.08333,-26.11288,High
10079,DR STRACHAN SA,"PAEDIATRIC ROOMS BEDFORD GARDENS HOSPITAL
  6 LEICESTER ROAD",28.1207005,-26.190127,High
10080,DR SPIROV SG SKIN ESTREEM,"COMBRIDGE ROAD PETERVALE CENTRE
  PETERVALE BRAYNSTON",28.0481677,-26.0362795,High
10082,SOUL MAMA FERN GULLY PATCHWORK,46 THIRD STR LINDEN,27.98899,-26.13436,High
10083,DR STUART AD 73 KELVIN POWER PTY LTD,"KELVIN POWER PTY LTD 3 ZUURFONTEIN ROAD
  KEMPTON PARK",28.19902,-26.114,High
10084,DR VAN ROOY E DRS KILLIAN NIENABER,JEANLAAN 258B LYTTELTON,28.19464,-25.84654,High
10086,DR VAN DER BERG LI 12,"CNR OF COWLES STR AND EAST GEDULD ROAD
  EAST GEDULD",28.430598,-26.223988,High
10087,DR MATTAKA DT,"73 CNR PARK ROAD & ENRLICH STR WILLOWS
  BLOEMFONTEIN",26.198013,-29.160981,High
10089,ENNERDALE PHARMACY,"46 ALLIE CRESCENT EXTENSION 9
  ENNERDALE GAUTENG",27.8335255,-26.4118227,High
10090,SR LILIENFELD L DUNVEGAN BABY CLINIC,"90 FIRST AVE DUNVEGAN
  EDENVALE",28.15112,-26.15153,High
10091,BEAUTILICIOUS DIANA NAIDOO,THE OZONE 52 XAVIER STR ROBERTSHAM,28.0074,-26.2503,High
10093,DR FOURIE M 12 EQUESTRIAN ESTATE,"63 JOLLIFY RING ROAD MOOIKLOOF EQUESTRIAN ESTA
  PRETORIA",28.361662,-25.783789,High
10094,MEDIWISE PHARM RESERVOIR HILLS,"SHOP F3 RESERVOIR HILLS C 365 NEW GERMANY ROAD
  RESERVOIR HILLS KWAZULU N",30.9625546,-29.8008585,High
10096,STEPS TO HEALTH PHY,"85 BOUNDARY ROAD CNR KENDAL & BOUNDARY ROA
  DIEP RIVER",18.460171,-34.029447,High
10097,DR MALKIN RB 58 WORKFORCE HEALTHCARE,"CNR WATT INDUSTRY ROAD NEW ERA
  SPRINGS",28.03643,-26.1847299,High
10098,SR ELOFF G,"NETCARE PRIMECURE TRAVEL CLINIC C/O NORTH RAND &
  TRICHARD ROAD BOKSBURG",28.2542882,-26.1789692,High
10099,DR DE VILLIERS CJ TANDARTS,"40 AERODROME DRIVE NORTHMEAD
  BENONI",28.31246,-26.16429,High
10100,PHARM-OLAM INTERNASIONAL,"48 SOVEREIGN DRIVE BLD B 1ST FLOOR ROUTE 21
  CORPORATE PARK IRENE",28.257864,-25.863737,High
10101,SUNRISE VIEW AFTREE OORD,"SUNRISE VIEW AFTREE OORD VIEW STR 500
  RIETVALLEIRANT",28.253967,-25.839361,High
10102,DR EILERD CC,"CUREDAY CLINIC 506 JOCHEM STR ERASMUSKLOOF EXT 3
  PRETORIA",28.3756447,-25.7798642,High
10103,HOLISTIC HEALTH,"28 FIRST STREET KRUGERSDORP NORTH
  KRUGERSDORP",27.77554,-26.08841,High
10104,BIOCOM BIOTECH PTY LTD,"265 PRETORIUS STREET LYTTELTON MANOR
  CENTURION",28.19727,-25.822048,High
10105,SR PLAYER L CUTIE PIE CLINIC,"CUTIE PIE CLINIC MODDERFONTEIN MEDICAL CEN
  9 HARLEY STR FOUNDERS HIL",28.04394,-26.15018,High
10106,X TRADE FOR ME CC,92 HANS COVERDALE EAST EERSTERUS,28.321549,-25.715523,High
10107,WEITZ NUTRITION,"SHOP U53A EASTGATE SHOP CENTRE BRADFORD ROAD
  BEDFORDVIEW",28.117173,-26.1803935,High
10108,SR DE KOCK MA MOMS DADS BABIES,"25 6TH AVE NORTHMEAD
  BENONI",28.32654,-26.17446,High
10109,DR BOOYSEN L,"36 CLERCQ STREET BETHAL
  MPUMALANGA",29.464678,-26.456536,High
10110,DR BOULOUTIS G HANS STRYDOM VET HOS,"HANS STRYDOM VET HOSP C/O HANS STRYDOM & HILL S
  FERNDALE RANDBURG",27.983891,-26.0933205,High
10111,DR BOHNEN HTE 12 INC,"MEDICAL CLLINIC TSHIPI BO MINE NEXT TO MAMATWAN MIN
  26 KM FROM HOTAZEL -",22.95,-27.2,High
10112,SR BINGLE AS BINGLES BIRTH&NURSIN,"45 BETHLEHEM DRIVE EAST-END
  RUSTENBURG",27.2421286,-25.6742902,High
10113,FS AND NCP MEDICAL AGENCY CC,"VAN ZYL STRAAT 55 UNIVERSITAS
  BLOEMFONTEIN",26.17948,-29.12501,High
10114,DR PRINSLOO L BROMHOF VET CLINIC,"TUFFSAN TRADING 328 PTY L T/A BROMHOF VET CLINIC
  CNR WITOGIE & OSTRICH STR",27.96254,-26.0895,High
10115,DR VAN DER LINDEN S DENTIST,"SUITE 120 FIRST FLOOR HYDE PARK CORNER SHOPPING
  CN JAN SMITHS AND 6TH AVE",28.033344,-26.127259,High
10116,DR VAN SCHALKWYK L,"RIVERVIEW MANOR CLINIC MAIN ROAD
  UNDERBERG",29.48965,-29.79294,High
10117,RESTHILL ELDERLY CARE,"105 PRETORIUS STR LAEZONIA
  CENTURION",28.01322,-25.90695,High
10120,DR VAN DER MERWE HA,"PRETORIA UROLOGY HOSP ROOM 9
  1162 PRETORIUS STR",28.2372967,-25.7444404,High
10121,DR NIEUWOUDT D,"JCR GEBOU KERKLAAN 2 KANTOOR NR 3
  UPPINGTON",21.2504,-28.45342,High
10122,DR DE BRUIN A EVEMED,DE LEEUW STR 27 BETHLEHEM,28.32148,-28.22966,High
10123,MRS PEREIRA JT PODIATRIST,"OPTIMUM CARE WELLNESS CEN 426 CLIFFENDALE DRIVE
  FAERIE GLEN PRA EAST",28.278748,-25.782872,High
10124,RISSIK PHARMACY,"METROPOLITAN BUILDING GROUNDFLOOR
  108 FOX STR",28.04268,-26.2062199,High
10125,TOTHILLS PHARMACY,"SHOP 6 SCHREINER CHAMBERS 94 PRITCHARD STR
  JOHANNESBURG",28.04585,-26.20307,High
10126,SR BOTHA M,"10B ROOIBOKSTREET JORDAAN PARK
  HEIDELBERG",28.36133,-26.52239,High
10129,DR DANCE MD,6 CROYDON ROAD BRYANSTON EXT 1,28.0152987,-26.0764472,High
10130,DR LOBAI A 18 MOGALE ALLOY PTY LTD,"MOGALE ALLOY PTY LTD MOGALE ALLOYS CONSOLIDATE
  MINES DEEP SHAFT ROAD",28.0283943,-26.2077415,High
10131,DR GOVENDER LA BENONI BRANCH,"CRANBOURNE CENTRE CNR CRANBOURNE AND BUNYAN
  STREET BENONI",28.2821092,-25.4086328,High
