ACC #,CUSTOMER NAME ,SEQ
STP010,ST PETERS SCHOOL,1
HEN040,HENLEY BUSINESS COLLEGE ,2
NET137,NET FLORIST,3
BID140,BIDVEST SERVICE,4
UBR001,UNILEVER SOUTH AFRICA (PTY) LTD,5
DOP017,DOPPIO ZERO PINESLOPES,6
PIN001,SPAR PINESLOPS,7
PAP036,PAPCHINO SEVEN GRANTY CENTRE,8
BIL015,BILLY THE BUMS,9
MOL021,MOLLY MALONES,10
SUN098,SUNSQUARE HOTEL,11
SOU070,SOUTHERN SUN,12
MON027,STAFF (MONTE CASINO),13
MON027,BEVERAGE (MONTE CASINO ,14
INT028,PALAZZO HOTEL,15
SOU015,SOUTHERN SUN INTREST,16
MON027,FLAMINGO (MONTE CASINO),17
COB005,COBBLESTONES,18
MUG105,MUGG & BEAN - MONTECASINO,19
FOR108,SUN HOTEL WYNBERG,20
MIC101,GOURMET  GARAGE  MONTE  CASINO,21
JEN020,JENDA AT MONTECASINO                                             ,22
FEG072,FEGO MONTE ,23
MON027,360 MONTE,24
CIT063,CITY LODGE ,25
LON068,LONGMEADOW FUNCTION AVENUE                                       ,26
SOC071,SOCIETY EATERY AND CRAFT BEER,27
LIN046,LINDT,28
LUP006,LUPA OSTERIA                                                     ,29
SEC017,THE SECRET TEA GARDEN                                            ,30
THR204,THE THROBBING STRAWBERRY,31
SAN128,SANDWICHBARON  FOURWAYS,32
MOS034,MOS COFFEE SHOP                                                  ,33
ENG021,ENGEN FOURWAYS                                                   ,34
WEY007,WEYLAND FURNITURE,35
EUR068,EUROPA FOURWAYS,36
BOU045,BOUNCE FOURWAYS,37
HAP049,HAPPY ME FOURWAYS,38
CAF168,DULCE CAFE - LIFE                                                ,39
FED4752,FEDICS - FOURWAYS HOSPITAL CATERING,40
INF013,INFUSION CATERING AND EVENTS,41
SIN046,SINGING FOREST MONTESSORI                                        ,42
ROD011,RODIZIO RESTAURANT FOURWAYS,43
GOO068,GOOD MOOD LONEHILL,44
CHE181,CHEERLEADERS FOURWAYS                                            ,45
CUP031,CUPCAKE BOUTIQUE,46
HAP046,HAPPYME LONEHILL,47
CAF446,CRAWFORD LONEHILL ,48
CAF475,CRAWFORD PREP LONEHILL,49
CAF466,CAFE FLAVA  CRAWFORD COLLEGE LONEHILL                            ,50
CAF835,CAFE FLAVA LONEHILL PREPARATORY,51
FAB003,FABZ HOTEL & RESTAURANT,52
JIA002,JIAN FOOD SERVICES                                               ,53
MUG257,MUGG & BEAN DAINFERN                                             ,54
COF671,THE COFFEE CRATE                                                 ,55
SUM090,SUMMIT COLLEGE ,56
CAF834,CAFE FLAVA SUMMIT COLLEGE                                        ,57
CAF854,CAFE FLAVA SUMMIT COLLEGE                                        ,58
TIN051,TIN KITCHEN,59Id,Location Name,Sequence,Route Name,Latitude,Longtitude
STP010,St Peters College,1,DAINFERN FINAL ROUTE,-26.0321205779135,28.0881357192993
HEN040,Kirstenhof Office Park,2,DAINFERN FINAL ROUTE,-26.0374323047044,28.0577194690704
NET137,Netflorist,3,DAINFERN FINAL ROUTE,-26.0364634868105,28.0538463592529
BID140,Cambridge Commercial Park,4,DAINFERN FINAL ROUTE,-26.0366466470258,28.0498605966568
ROY458,Kildrummy Office Park,5,DAINFERN FINAL ROUTE,-26.0349789145105,28.0474948883057
VID212,Pineslopes Shopping Centre,6,DAINFERN FINAL ROUTE,-26.0229570428718,28.0161666870117
PAP036,The Gantry Centre,7,DAINFERN FINAL ROUTE,-26.0224894471966,28.0173683166504
MOL021,Molly Malones,8,DAINFERN FINAL ROUTE,-26.0192355081751,28.0140745639801
MON027,Monte Casino,9,DAINFERN FINAL ROUTE,-26.0224557031067,28.0135864019394
CIT063,City Lodge - Fourways,10,DAINFERN FINAL ROUTE,-26.0239259723098,28.0167782306671
LON068,Longmeadow Function Venue,11,DAINFERN FINAL ROUTE,-26.0274256209578,28.0109685659409
SOC071,Merrow Down Plaza,12,DAINFERN FINAL ROUTE,-26.0270496306531,28.0218100547791
LIN046,Design Quarter,13,DAINFERN FINAL ROUTE,-26.02961405343,28.0098098516464
SEC017,The Secret Tea Garden,14,DAINFERN FINAL ROUTE,-26.0351500268862,28.0076855421066
SAN128,Kingfisher Shopping Centre,15,DAINFERN FINAL ROUTE,-26.0274105331414,28.001328921282
MOS034,Hammets Crossing Office Park,16,DAINFERN FINAL ROUTE,-26.025936113837,27.9775053262711
ENG021,Engen Fourways,17,DAINFERN FINAL ROUTE,-26.0177362555425,28.0095040798187
WEY007,Weylands Fourways,18,DAINFERN FINAL ROUTE,-26.0156295563017,28.0075031518936
EUR068,Fourways Mall,19,DAINFERN FINAL ROUTE,-26.0174614708291,28.0042469501495
CAF168,Life Fourways Hospital,20,DAINFERN FINAL ROUTE,-26.0130648279366,27.9957550764084
INF013,Infusion Catering And Events,21,DAINFERN FINAL ROUTE,-26.0087885491085,28.0039170384407
SIN046,Singing Forest Kindergarten,22,DAINFERN FINAL ROUTE,-26.0083064334969,28.0053171515465
CAF140,Leaping Frog Shopping Center,23,DAINFERN FINAL ROUTE,-26.0084799953451,28.0137526988983
GOO068,Good Mood Foods - Lonehill Village Estate,24,DAINFERN FINAL ROUTE,-26.0153523562186,28.0172771215439
64e5c44d-f7d4-40f1-89fc-b741b12976cb,Lonehill Shopping Centre,25,DAINFERN FINAL ROUTE,-26.0129250197048,28.0247497558594
CAF475,Crawford Preparatory School,26,DAINFERN FINAL ROUTE,-26.0076121835388,28.0318522453308
CAF466,Crawford College Lonehill,27,DAINFERN FINAL ROUTE,-26.0149449914304,28.0294919013977
FAB003,Fabz Estate Hotel,28,DAINFERN FINAL ROUTE,-26.0018989290749,28.0283170938492
JIA002,Jian Food Services,29,DAINFERN FINAL ROUTE,-25.9989192481339,28.0195301771164
