ACC#,CUSTOMER NAME,SEQ
STP005,ST PETERS PREP SCHOOL                                            ,1
LSM001,LSM DISTRIBUTORS (PTY) LTD                                       ,2
CEN088,CENTRAL KITCHEN CATERERS                                         ,3
CAF451,CAFE ALBRECHT                                                    ,4
FEE027,FEEDEM PITSENG - POULTRY -  SIEMENS NORTH RIDING                 ,5
EAT072,EATFRESH - VERIMARK                                              ,6
AFR276,AFRICA BLACK                                                     ,7
MOR102,MORISH CUISINE CATERING CENTRAL KITCHEN                          ,8
CHI352,CHICKIN TYME NORTHLANDS                                          ,9
BUR082,BURGER & PIZZA PERFECT NORTHLANDS                                ,10
BLA055,BLANDFORD MANOR                                                  ,11
NYA021,NYAMI NYAMI NORTHRIDING                                          ,12
PAN021,PANCIERA CONFECTIONERS                                           ,13
EUR113,EUROPASIA                                                        ,14
MET011,METHODIST HOME FOR THE AGED  SUMMERFIELD PARK                    ,15
CGA169,NETCARE OLIVEDALE HOSPITAL N0214                                 ,16
REE141,REEF -  OLIVEDALE RETIREMENT VILLAGE                             ,17
NET141,NETCAFE OLIVEDALE                                                ,18
DOP010,DOPPIO ZERO BEL AIR                                              ,19
NOR102,NORTHGATE ICE RINK                                               ,20
MUG276,MUGG AND BEAN GOLDEN HAVEST                                      ,21
REE207,REEF- FREE ISSUE-ANN HARDING                                     ,22
REE066,REEF - ANN  HARDING                                              ,23
HAR006,HARVEST INN                                                      ,24
VIL008,VILLAGE OF GOLDEN HARVEST TWO                                    ,25
VIL140,VILLAGE  OF  GOLDEN  HARVEST - MORLAM                            ,26
REE222,REEF-FREE ISSUE-CRESCENT CLINIC                                  ,27
REE007,REEF - CRESCENT CLINIC                                           ,28
RHE003,RHEMA BIBLE CHURCH NORTH                                         ,29
FLO050,FLOWER FOUNDATION RETIREMENT VILLAGE                             ,30
ROA006,ROAD LODGE - RANDBURG                                            ,31
PAS031,PASTA CAFE                                                       ,32
KIN177,KINGDOM CATERERS - MINTEK                                        ,33
DIS055,DISAR INTERNATIONAL                                              ,34
GOU006,GOURMET FOOD SERVICES PTY LTD                                    ,35
GOU060,GOURMET FOOD SERVICES SERVDFRESH                                 ,36
GOU061,GOURMET FOOD SERVICES SERVDFRESH                                 ,37
PRE021,BIDVEST SERVICES                                                 ,38
SAN513,SANDWICH BARON STRYDOM PARK                                      ,39
SAN462,SANDWICH BARON FERNADALE STRYDOM PARK                            ,40
PAT019,PATIO WAREHOUSE                                                  ,41
