ACC#,CUSTOMER NAME ,SEQ
ROY456,ROYAL MNANDI - KUSILE POWERSTATION ,1
SER107,SERVEST KUSILE,2
LAB054,LABUSCHAGNE GASTEHUIS                                            ,3
SIT045,FEDICS - ABACUS SPACE SOLUTIONS SITE SERVICES,4
COL007,COLLIERY TRAINING COLLEGE,5
BOK042,BOKMAKIERIE  GUESTHOUSE                                          ,6
DUD004,DUDUZA - ESKOM PARK EMALAHLENI                                   ,7
EMA007,EMALAHLENI PRIVATE HOSPITAL,8
DUC005,DUCKPOND COFFEE SHOP,9
FED4743,COSMOS HOSPITAL,10
FED4022,FEDICS - RESALE - COSMOS HOSPITAL                                ,11
WIE144,WIESENHOF HOSPITAL,12
MEA032,MEAT AND FISH CITY                                               ,13
FED4636,FEDICS - M CARE,14
FED4164,FEDICS - RESALE - M CARE HIGHVELD GP,15
KLE018,KLEINBOSVELD GUEST HOUSE,16
BIG037,LETS TRADE BIG 5 GUESTHOUSE,17
YAL001,YALLA YALLA GUESTHOUSE CC                                        ,18
BEL102,BELLE DON BOUTIQUE HOTEL ,19
PIC284,PICK N PAY,20
180001,180 RIVER CRESENT ,21
BEL140,BELLEVUE RINETTE,22
IND028,INDLELA COUNTRY ESTATE                                           ,23
MUG160,MUGG AND BEAN,24
BAG017,BAGS AND BAGGAGE ROSTVELD COFFEE SHOP                            ,25
NAN272,NANDOS HIGHVELD MALL ,26
SAU069,SAUSAGE SALOON WITBANK                                           ,27
NIN179,NINOS,28
SAU116,SAUSAGE SALOON HIGHVELD MALL                                     ,29
RID013,THE RIDGE CASINO                                                 ,30
EXP033,BILLY G'S,31
STA233,STAY EASY - EMALAHLENI,32
,,
Id,Location Name,Sequence,Route Name,Latitude,Longtitude
ROY456,Kusile Power Station,1,WITBANK 1 FINAL ROUTE,-25.9290631549295,28.9364004135132
LAB054,LABUSCHAGNE GASTEHUIS ???,2,WITBANK 1 FINAL ROUTE,-25.9748717114093,28.9865469932556
SIT045,Site Service Abacus Space Solutions,3,WITBANK 1 FINAL ROUTE,-26.0338606528378,28.9595103263855
7258440f-e625-4d4a-9bf6-6a75f47f53b5,Colliery Training College,4,WITBANK 1 FINAL ROUTE,-25.9086975410336,29.2513453960419
BOK042,Bokmakierie Guesthouse,5,WITBANK 1 FINAL ROUTE,-25.893463248864,29.2363277077675
DUD004,Eskom Park Emalahleni,6,WITBANK 1 FINAL ROUTE,-25.8875948435326,29.2161118984222
EMA007,Emalahleni Private Hospital,7,WITBANK 1 FINAL ROUTE,-25.8759295566202,29.2164659500122
DUC005,Duckpond Coffee Shop,8,WITBANK 1 FINAL ROUTE,-25.8899982224366,29.2367273569107
WIE144,Kosmos Life Hospital,9,WITBANK 1 FINAL ROUTE,-25.8843709572492,29.231368303299
MEA032,Witbank Retail City,10,WITBANK 1 FINAL ROUTE,-25.8749642350888,29.238583445549
FED4164,M Care Highveld GP,11,WITBANK 1 FINAL ROUTE,-25.8718220588769,29.2409491539001
KLE018,Klein Bosveld Gueshouse,12,WITBANK 1 FINAL ROUTE,-25.8676764304525,29.2397290706504
BIG037,Big 5 Guest House,13,WITBANK 1 FINAL ROUTE,-25.8655229747054,29.2396965622902
YAL001,Yalla Yalla Boutique Hotel,14,WITBANK 1 FINAL ROUTE,-25.8639228090368,29.2395973205566
BEL102,Belle Donne Boutique Hotel,15,WITBANK 1 FINAL ROUTE,-25.861769912446,29.258933365345
PIC284,River Crescent Shopping Centre,16,WITBANK 1 FINAL ROUTE,-25.8766728488236,29.2461150884628
180001,River Crescent Shopping Centre,17,WITBANK 1 FINAL ROUTE,-25.8770686258807,29.2452889680862
IND028,Indela Country Estate,18,WITBANK 1 FINAL ROUTE,-25.8849452787646,29.2547518014908
BAG017,Highveld Mall,19,WITBANK 1 FINAL ROUTE,-25.8841199923486,29.2618918418884
STA233,The Ridge Casino,20,WITBANK 1 FINAL ROUTE,-25.8877541050941,29.269192814827
